equip-01,重型火炮,15,5,0,0,350,10,Fire,800,0
equip-02,轻型防空炮,5,20,0,0,200,5,Holy Light,600,0
equip-03,鱼雷发射器,20,0,0,0,400,12,Poison,1000,0
equip-04,先进雷达,0,0,0,0,500,8,Energy,1200,0
equip-05,强化引擎,0,0,0,0,0,5,Normal,1500,-20
equip-06,护盾发生器,0,0,30,0,0,25,Holy Light,2000,0
equip-07,导弹吊舱,25,10,0,0,450,15,Shadow,1800,0
equip-08,激光炮,35,5,0,0,500,20,Fire,2500,0
equip-09,隐形模块,0,0,0,25,0,10,Energy,2200,0
equip-10,防空导弹,10,30,0,0,300,10,Holy Light,1600,0
equip-11,火焰喷射器,20,0,0,5,250,8,Fire,900,0
equip-12,声呐系统,0,0,0,0,0,10,Normal,1300,0
equip-13,等离子步枪,30,5,0,0,500,15,Energy,2200,0
equip-14,生物装甲,0,0,25,10,0,20,Poison,1900,0
equip-15,纳米修理套件,0,0,0,0,0,5,Normal,1400,-10
equip-16,量子干扰器,40,0,0,0,600,25,Shadow,3000,0
equip-17,光子鱼雷,50,0,0,0,600,20,Energy,3000,0
equip-18,电磁轨道炮,40,10,0,0,550,18,Fire,2500,0
equip-19,隐身装置,0,0,0,20,0,15,Shadow,2200,0
equip-20,电磁脉冲发射器,30,0,0,0,500,25,Energy,2800,0
equip-21,激光栅栏,35,15,0,0,580,22,Fire,2700,0
equip-22,等离子护盾,0,0,50,0,0,30,Holy Light,3200,0
equip-23,量子鱼雷,60,5,0,0,650,28,Shadow,3500,0
equip-24,纳米修理系统,0,0,0,0,0,5,Normal,1600,-15
equip-25,隐形装甲,0,0,40,15,0,20,Shadow,3000,0
equip-26,导弹防御系统,25,40,0,0,400,20,Holy Light,2400,0
equip-27,先进火控,0,0,0,0,700,10,Energy,2600,0
equip-28,重型离子炮,55,20,0,0,600,24,Fire,2900,0
equip-29,自适应迷彩,0,0,0,25,0,18,Shadow,2300,0
equip-30,双相引擎,0,0,0,0,0,5,Energy,3100,-25
equip-31,动能屏障,0,0,60,0,0,35,Fire,3300,0
equip-32,热成像雷达,0,0,0,0,800,12,Energy,2800,0
